,Date,Index Name,Value,Name
437,1988-11-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.2,CPIH
1718,1988-11-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.9,CPIH
4707,1988-11-01,MISCELLANEOUS GOODS AND SERVICES,47.6,CPIH
2145,1988-11-01,HEALTH,39.8,CPIH
4280,1988-11-01,"HOTELS, CAFES AND RESTAURANTS",34.7,CPIH
9404,1988-11-01,"HOTELS, CAFES AND RESTAURANTS",34.7,CPI
8977,1988-11-01,EDUCATION,13.2,CPI
5988,1988-11-01,CLOTHING AND FOOTWEAR,203.2,CPI
9831,1988-11-01,MISCELLANEOUS GOODS AND SERVICES,48.1,CPI
10,1988-11-01,FOOD AND NON-ALCOHOLIC BEVERAGES,49.3,CPIH
1291,1988-11-01,"HOUSING, WATER AND FUELS",33.6,CPIH
1719,1988-12-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",72.0,CPIH
8978,1988-12-01,EDUCATION,13.2,CPI
5562,1988-12-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.1,CPI
5989,1988-12-01,CLOTHING AND FOOTWEAR,203.9,CPI
2146,1988-12-01,HEALTH,39.8,CPIH
5135,1988-12-01,FOOD AND NON-ALCOHOLIC BEVERAGES,49.5,CPI
2573,1988-12-01,TRANSPORT,42.2,CPIH
4281,1988-12-01,"HOTELS, CAFES AND RESTAURANTS",34.8,CPIH
8124,1988-12-01,COMMUNICATION,97.6,CPI
11,1988-12-01,FOOD AND NON-ALCOHOLIC BEVERAGES,49.7,CPIH
8551,1988-12-01,RECREATION & CULTURE,75.9,CPI
4708,1988-12-01,MISCELLANEOUS GOODS AND SERVICES,47.7,CPIH
865,1988-12-01,CLOTHING AND FOOTWEAR,204.4,CPIH
7697,1988-12-01,TRANSPORT,42.1,CPI
6416,1988-12-01,"Housing, water, electricity, gas and other fuels",41.6,CPI
6843,1988-12-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.3,CPI
3000,1988-12-01,COMMUNICATION,98.6,CPIH
7270,1988-12-01,HEALTH,39.5,CPI
1292,1988-12-01,"HOUSING, WATER AND FUELS",33.6,CPIH
3427,1988-12-01,RECREATION & CULTURE,76.3,CPIH
9832,1988-12-01,MISCELLANEOUS GOODS AND SERVICES,48.2,CPI
438,1988-12-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.1,CPIH
9405,1988-12-01,"HOTELS, CAFES AND RESTAURANTS",34.8,CPI
3854,1988-12-01,EDUCATION,13.2,CPIH
3428,1989-01-01,RECREATION & CULTURE,76.4,CPIH
1720,1989-01-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.6,CPIH
8125,1989-01-01,COMMUNICATION,97.6,CPI
12,1989-01-01,FOOD AND NON-ALCOHOLIC BEVERAGES,50.1,CPIH
439,1989-01-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.4,CPIH
8979,1989-01-01,EDUCATION,13.2,CPI
5990,1989-01-01,CLOTHING AND FOOTWEAR,199.6,CPI
866,1989-01-01,CLOTHING AND FOOTWEAR,200.2,CPIH
7698,1989-01-01,TRANSPORT,42.4,CPI
9833,1989-01-01,MISCELLANEOUS GOODS AND SERVICES,48.9,CPI
7271,1989-01-01,HEALTH,40.4,CPI
6844,1989-01-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.9,CPI
1293,1989-01-01,"HOUSING, WATER AND FUELS",33.7,CPIH
3001,1989-01-01,COMMUNICATION,98.5,CPIH
8552,1989-01-01,RECREATION & CULTURE,76.0,CPI
3855,1989-01-01,EDUCATION,13.2,CPIH
6417,1989-01-01,"Housing, water, electricity, gas and other fuels",41.8,CPI
2574,1989-01-01,TRANSPORT,42.6,CPIH
2147,1989-01-01,HEALTH,40.7,CPIH
4282,1989-01-01,"HOTELS, CAFES AND RESTAURANTS",35.0,CPIH
5136,1989-01-01,FOOD AND NON-ALCOHOLIC BEVERAGES,50.0,CPI
9406,1989-01-01,"HOTELS, CAFES AND RESTAURANTS",35.0,CPI
4709,1989-01-01,MISCELLANEOUS GOODS AND SERVICES,48.4,CPIH
5563,1989-01-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.4,CPI
5564,1989-02-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.5,CPI
6418,1989-02-01,"Housing, water, electricity, gas and other fuels",41.9,CPI
7699,1989-02-01,TRANSPORT,42.6,CPI
8553,1989-02-01,RECREATION & CULTURE,76.2,CPI
5137,1989-02-01,FOOD AND NON-ALCOHOLIC BEVERAGES,50.1,CPI
2148,1989-02-01,HEALTH,41.0,CPIH
3002,1989-02-01,COMMUNICATION,98.5,CPIH
5991,1989-02-01,CLOTHING AND FOOTWEAR,201.5,CPI
1294,1989-02-01,"HOUSING, WATER AND FUELS",33.7,CPIH
